name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Metaverse HQ,16,1.72,1600.0,3.95,16,63.2,1326,1.0
GOATz,6,0.65,0.42,0.13,30,3.9000000000000004,2727,7063.0
BullsOnTheBlock,7,0.75,0.21,0.08,21,1.68,1568,10000.0
Bored Ape Kennel Club,67,7.2,2.23,14.32,214,3064.48,5596,9602.0
The Alien Boy,9,0.97,1.07,0.12,107,12.84,3561,9992.0
Ghxsts Cxlture,15,1.61,763.64,0.15,168,25.2,773,22.0
PLANET UNKWN,1,0.11,4.35,0.02,1,0.02,10,23.0
Akutarsz,1,0.11,50.0,0.25,1,0.25,4,2.0
Wasted Wild by Capsule Vault,2,0.22,0.25,0.01,5,0.05,649,2000.0
HAL_9000 Collection,1,0.11,50.0,0.02,1,0.02,29,2.0
Thereidoscope by Daïm Aggott-Hönsch,3,0.32,2.06,0.09,4,0.36,123,194.0
MathBlocks Primes,2,0.22,0.65,0.03,4,0.12,208,617.0
gm token,5,0.54,0.84,1.3,7,9.1,732,834.0
Every Icon,28,3.01,8.01,0.13,41,5.33,314,512.0
"Einstein, Chaplin, Wright Brothers X Wolfe, Odious, Parrott",1,0.11,100.0,0.2,3,0.6000000000000001,84,3.0
DEPRECATED Wasted Wild,2,0.22,0.79,0.01,5,0.05,338,635.0
GhostSoftware CD-ROM,6,0.65,0.88,0.03,6,0.18,673,683.0
Notorious Frogs,5,0.54,0.17,0.28,17,4.760000000000001,2739,10000.0
Brotchain,12,1.29,5.31,0.8,27,21.6,337,508.0
Block Mazing,1,0.11,0.39,0.15,1,0.15,114,256.0
play with light,1,0.11,11.54,0.09,3,0.27,12,26.0
Rarible,130,13.98,0.37,0.0,1172,0.0,211613,314639.0
REFLECTIONS by Jacob Riglin,19,2.04,2.52,0.42,28,11.76,830,1111.0
DreamScapes by Xander Steenbrugge,23,2.47,10.0,0.39,50,19.5,285,500.0
the Universe Machine by Joshua Davis / PrayStation,30,3.23,13.09,0.15,36,5.3999999999999995,216,275.0
Gutter Punks Flyer - Meebits,85,9.14,2.13,0.01,426,4.26,6119,19999.0
Pigments by Darien Brito,23,2.47,4.1,1.35,42,56.7,671,1024.0
Fusion by Hideki Tsukamoto,17,1.83,6.54,0.25,67,16.75,589,1024.0
Gutter Punks - Impostors,16,1.72,0.52,0.01,52,0.52,6018,10000.0
Impostors Genesis Aliens,12,1.29,0.36,2.65,38,100.7,5303,10420.0
3LAND INVENTORY,24,2.58,2400.0,0.25,24,6.0,5012,1.0
Lives of Kevin,2,0.22,0.72,0.0,8,0.0,646,1111.0
3Landers,24,2.58,0.83,1.6,83,132.8,5919,10000.0
Cereal Club,10,1.08,0.63,0.1,63,6.300000000000001,3826,9955.0
Quirkies Originals,4,0.43,0.46,2.29,23,52.67,2180,5000.0
Boss Beauties Collabs,8,0.86,300.0,0.01,12,0.12,4237,4.0
888 Inner Circle - Orange Realm,5,0.54,0.35,0.01,8,0.08,1396,2293.0
0xZuki,3,0.32,0.23,0.01,23,0.23,3797,9999.0
V3 Punks,3,0.32,0.16,0.01,16,0.16,2022,9999.0
